,Actual,Predicted,Probability,Close,CashInHand,Stock_Value,Stratergy_Value,BuyHold_Value,Strategy_Value
2023-02-07,1,1,0.69339025,1052.6356201171875,0.0,96686.18245076253,96686.18245076253,91190.0030896716,96686.18245076253
2023-02-08,1,1,0.73323584,1073.6573486328125,0.0,98617.06018266547,98617.06018266547,93011.11901208041,98617.06018266547
2023-02-09,1,1,0.7245536,1075.52880859375,0.0,98788.95662600677,98788.95662600677,93173.24390730397,98788.95662600677
2023-02-10,1,1,0.730872,1066.6728515625,0.0,97975.5235054325,97975.5235054325,92406.05084105396,97975.5235054325
2023-02-13,1,1,0.7254212,1060.6014404296875,0.0,97417.85516008869,97417.85516008869,91880.08346033945,97417.85516008869
2023-02-14,1,1,0.6531785,1085.5947265625,0.0,99713.52649867801,99713.52649867801,94045.25609568926,99713.52649867801
2023-02-15,0,1,0.59992146,1110.1768798828125,0.0,101971.43466322953,101971.43466322953,96174.81222545478,101971.43466322953
2023-02-16,0,1,0.67185414,1109.3094482421875,0.0,101891.75974793482,101891.75974793482,96099.66647465844,101891.75974793482
2023-02-17,0,1,0.6597743,1113.94287109375,0.0,102317.34668289701,102317.34668289701,96501.06068560363,102317.34668289701
2023-02-20,0,1,0.6140471,1102.16552734375,0.0,101235.57974965275,101235.57974965275,95480.7873902433,101235.57974965275
2023-02-21,0,1,0.6679848,1111.1585693359375,0.0,102061.60433235423,102061.60433235423,96259.85615001207,102061.60433235423
2023-02-22,0,1,0.58557683,1085.959716796875,0.0,99747.051406746,99747.051406746,94076.8752618701,99747.051406746
2023-02-23,0,1,0.58557683,1080.7557373046875,0.0,99269.05797669692,99269.05797669692,93626.05363195192,99269.05797669692
2023-02-24,1,1,0.6093096,1088.1510009765625,0.0,99948.32419093618,99948.32419093618,94266.70658364677,99948.32419093618
2023-02-27,1,1,0.57781774,1080.91552734375,0.0,99283.73493477752,99283.73493477752,93639.8962702565,99283.73493477752
2023-02-28,1,1,0.5867802,1060.2362060546875,0.0,97384.30782733302,97384.30782733302,91848.44314421467,97384.30782733302
2023-03-01,1,1,0.5888404,1069.982421875,0.0,98279.51257149923,98279.51257149923,92692.75948101882,98279.51257149923
2023-03-02,0,1,0.5965384,1061.8338623046875,0.0,97531.0549834514,97531.0549834514,91986.84837731662,97531.0549834514
2023-03-03,0,1,0.65467525,1088.9271240234375,0.0,100019.61227304197,100019.61227304197,94333.94225541192,100019.61227304197
2023-03-06,0,1,0.58139366,1099.5633544921875,0.0,100996.56621611245,100996.56621611245,95255.36071282627,100996.56621611245
2023-03-08,0,1,0.5348696,1103.5120849609375,0.0,101359.2631145016,101359.2631145016,95597.43990600947,101359.2631145016
2023-03-09,0,1,0.6446143,1076.9896240234375,0.0,98923.1347446856,98923.1347446856,93299.7945968311,98923.1347446856
2023-03-10,0,1,0.6699332,1060.3046875,0.0,97390.5979522247,97390.5979522247,91854.37570348807,97390.5979522247
2023-03-13,0,1,0.6848784,1042.8665771484375,0.0,95788.8809982991,95788.8809982991,90343.70923310966,95788.8809982991
2023-03-14,0,1,0.692075,1038.9635009765625,0.0,95430.3775165044,95430.3775165044,90005.58507944205,95430.3775165044
2023-03-15,1,1,0.7129514,1021.205810546875,0.0,93799.30664641758,93799.30664641758,88467.23333245446,93799.30664641758
2023-03-16,1,1,0.7143626,1016.1157836914062,0.0,93331.77993933889,93331.77993933889,88026.28343886732,93331.77993933889
2023-03-17,0,1,0.7279932,1014.8377075195312,0.0,93214.3866993817,93214.3866993817,87915.56348237455,93214.3866993817
