,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI_14,BB_Upper,BB_Lower,Volume_MA_20
2019-03-13,0.22943207380607938,0.20556270795183235,0.22701310719432333,0.20756857522692068,0.16223795236849856,0.11300740437585333,0.0,0.0949645748470831,0.8757147415490136,0.053090947773128616,0.2054207379149064,0.1845658505149435
2019-03-14,0.22655127805097758,0.20657963808583596,0.23107417478777226,0.21394105528378754,0.1492977435936504,0.11554088574801147,0.0029689150362831596,0.09947899006683358,0.8261878009780487,0.06131748118863123,0.20209792622375872,0.19181453430797152
2019-03-15,0.2165813715807398,0.2049526804847281,0.21843406481956495,0.2115670402037763,0.23449591428318703,0.11844033888676864,0.005866484978287234,0.10241116883811696,0.7981159073470886,0.06606962609662337,0.20286342278965802,0.2085948734495151
2019-03-18,0.23080986063798964,0.20452048975371545,0.22746999745828578,0.2045697351398506,0.14469242690919012,0.1215822744570707,0.009330105094997099,0.10670857894159835,0.8407895372085821,0.07372044110478138,0.20124235406427954,0.20951355043986442
2019-03-19,0.24408649676415045,0.21573164324905209,0.23462768170791137,0.2190639921793996,0.14003897495568626,0.12623715550780334,0.013071032289257323,0.11213118601443661,0.9247226100329301,0.08344227082856048,0.20042111898558762,0.20979661329649646
2019-03-20,0.24353534077204814,0.21979914978371978,0.24523730857076276,0.22796050529776984,0.14139668604348873,0.13097831860063447,0.016715033697512705,0.11697365334786591,0.9167864051981115,0.09113772151227861,0.20174654892510274,0.21640432705694018
2019-03-22,0.22665146947711517,0.2161892239888626,0.23137881050442333,0.22531154972378603,0.16579207450596267,0.13417380882353425,0.019906733555504208,0.11940354568034484,0.7693661075593347,0.09460589189137358,0.20432354252373724,0.2257616967039865
2019-03-25,0.21798412031222997,0.19379231473134,0.22122604200360785,0.20436985041865502,0.11128306737284924,0.13648116329134374,0.022783437080606483,0.12060027325349398,0.7271315367155871,0.09652839900536969,0.20675425903906525,0.2210020247119171
2019-03-26,0.2394271484725879,0.2114606996788812,0.22797759739125345,0.20421985844449891,0.13498034547447252,0.14049486275443135,0.02628003864460049,0.12416134820063396,0.7682537160380021,0.10114319589988019,0.20973773569976922,0.22231215092966394
2019-03-27,0.23040909493343925,0.21468938387900022,0.23521153794477123,0.22803556056068958,0.14452081822012855,0.14397450218640018,0.02966154557231282,0.12634099334218696,0.6783568940524959,0.10322771097242212,0.2142016601860422,0.2263717947691949
2019-03-28,0.23579488263867215,0.21054561418450785,0.23447548210688496,0.2141910356896159,0.15055282143538862,0.148132505996307,0.033204590549637536,0.12893552655915008,0.6863349062552734,0.10458166865524043,0.22064974820795508,0.227009068080734
2019-04-01,0.2517517941365323,0.2293578316466393,0.2445012208485624,0.22406201868453818,0.14458454460637785,0.15314144643590266,0.03673416894179482,0.13312721375356018,0.7371961302005486,0.10799940006078157,0.22666694227748246,0.2251710724519257
2019-04-02,0.2506746503485984,0.22747666259236815,0.2534102897957543,0.23805653160260237,0.11222401044817652,0.1578617863494145,0.04015067402499051,0.13679519956788733,0.6814389965967244,0.11015570683893738,0.23338038678058365,0.2192413174607773
2019-04-03,0.24341011868076706,0.22742585884084693,0.24929843329601487,0.2354325773970049,0.10969221304559423,0.16229947580004456,0.04339150839616801,0.13927424043262826,0.5943694893893301,0.10872391638838341,0.24308075344731966,0.2191090195557438
2019-04-04,0.23231293832674466,0.2176129677340431,0.23673442264487432,0.22856038324726208,0.11785685127102719,0.16573299713747447,0.04566245116390533,0.14023460306231228,0.506476324056664,0.10506407907032056,0.25308644817859177,0.22138032553462966
2019-04-05,0.23273866593087505,0.2075456360513382,0.23457690212660853,0.21953880806855258,0.09229551253173286,0.1683839973625989,0.04722666658128083,0.14115270691488535,0.5218113285974939,0.10277594578681637,0.26028506711171634,0.21176387493952803
2019-04-08,0.22038898960178716,0.20429174161636904,0.22477959612345988,0.21706494018001127,0.12325485355096208,0.17013943344212856,0.048493386591157206,0.14055603344003864,0.5106425653294228,0.09936794908594315,0.26690634402332886,0.21287641079645958
2019-04-09,0.22299417297805607,0.19574974373871673,0.22340883737463135,0.20352015100584858,0.13526479469697728,0.1721433061001827,0.04994923743145008,0.14031728535788124,0.45524275557905614,0.09396846323198504,0.27594329876167417,0.2191381040156758
2019-04-10,0.22146613338972104,0.19946150189551232,0.2262009246634662,0.20804342552899696,0.10601883801347037,0.17295556527716838,0.05107932569178375,0.13992466891669764,0.37126995239018223,0.09227500426032287,0.2791212165497589,0.21532388271275954
2019-04-11,0.2291816983890807,0.2020037545614201,0.22747008941981994,0.20554444801505495,0.07698283650656547,0.17341525972770155,0.05243623865699354,0.14046118657599882,0.4205379667986118,0.09211692059980114,0.28013563339862474,0.20538613862474753
2019-04-12,0.22732791632606225,0.20398664923653959,0.23135347159380948,0.21406603816793873,0.07975099751584844,0.1732903002328996,0.05396478152722939,0.14073235269720663,0.4974815779155539,0.09209108128856658,0.27992730049591147,0.1957582526184306
2019-04-15,0.2258499380680143,0.19994450913758716,0.2305158355401381,0.21156700462667705,0.05376793962676796,0.17324864979048382,0.05570803407195901,0.14080687314160967,0.5425300070620538,0.09209926423683457,0.27984140543416075,0.18460800389798832
2019-04-16,0.22765352126961852,0.20556270683899674,0.2330539747351389,0.2115669533226992,0.1110435188655001,0.17390619098910232,0.05770099629431391,0.14108274918386798,0.40215109545036487,0.09138450711829205,0.28177115361909294,0.17019862738007135
2019-04-18,0.24879597515156354,0.2206889645254006,0.2457450292326857,0.22656112395925238,0.2665731908966318,0.17497433147022512,0.0598386700325475,0.14377593326464977,0.6174221371983399,0.09380185586072465,0.281399973269362,0.1844245629129092
2019-04-22,0.22845519020984667,0.20912193648503602,0.23371397096161073,0.219064073402705,0.15535977992549319,0.17404603585135237,0.06112289096781409,0.14386169618829103,0.45104299156175853,0.09236910430495437,0.28106798070188616,0.18621280887298625
2019-04-23,0.23772375669712115,0.2121725467137145,0.2360999070759543,0.21306643555443555,0.12840181614526155,0.17370090359918122,0.0621048994492851,0.14501052456664554,0.4068671975553898,0.09149637729186366,0.28127770368044985,0.18469604629797615
2019-04-24,0.25057445892246083,0.22325656743882621,0.24637945865071353,0.22421198189699315,0.10211157494330132,0.17512161697431106,0.06342344414837886,0.14753518666692333,0.4930004857238516,0.09436101930875673,0.28112752950422465,0.17726325172203578
2019-04-25,0.24200743871484037,0.23220540265142603,0.24452678891896207,0.2336084772454799,0.20403408453719388,0.1765482885801971,0.06426007596055694,0.14882925403822767,0.48588922505085186,0.0945241056333741,0.28363533224005427,0.18808916015596272
2019-04-26,0.2522277893676404,0.22384135681205314,0.2486385498919087,0.22656111642266258,0.09479674481873766,0.17730847959944174,0.06563852326755515,0.15118131463366535,0.6032329237483494,0.09678827155031966,0.2828384291586809,0.18339892608043057
2019-04-30,0.2522277893676404,0.2240701162461744,0.24665874599718296,0.23725686949845132,0.14642686421846404,0.17860422531221531,0.06718793163086867,0.15330936945810902,0.6012972825281552,0.09924209962872976,0.282857083852691,0.18362139996890847
2019-05-02,0.2583651846828145,0.2329679297430422,0.25442562772884547,0.23505775199061524,0.1226175896884692,0.17994460670844892,0.06923137345442543,0.15594409429396106,0.715861649439768,0.1027565396532154,0.2819200687306049,0.18036079679474798
2019-05-03,0.26026895931055644,0.2347983536111375,0.2648576283376284,0.24302963021896434,0.08891197055194044,0.1804504151697438,0.07128356574067707,0.15854792556509545,0.713215947335134,0.104682978319936,0.28097840864977824,0.17386268812251182
2019-05-06,0.2482699185901684,0.22732422798001733,0.2523950653093634,0.23805662397247768,0.10020348606882606,0.1803076054853352,0.07344681647533946,0.15951695946132627,0.637162839774962,0.10429588234819687,0.28109063900290526,0.1724596512584734
2019-05-07,0.22752829917833745,0.22335835178762525,0.2331555593959027,0.23645724349636615,0.1256368187566673,0.1793644326665682,0.07478017007614368,0.1579964497238232,0.48559519064742696,0.10372466292556626,0.27988674712167644,0.1743207073063795
2019-05-08,0.20545902303044677,0.1953939159585057,0.20878891169408775,0.20906801476264741,0.21459607337925976,0.17776966054483112,0.07584833255360424,0.15407004912884026,0.4026099629437142,0.10629154425534715,0.2743899578897207,0.18561211943889938
2019-05-09,0.18391587220951494,0.16936163429775847,0.1882549837716383,0.18347814585341488,0.2905744248505668,0.17487022374118222,0.07639150237468184,0.14802769813971928,0.3399220340600656,0.11266814624015165,0.26272115547512626,0.2087552548434295
2019-05-10,0.18126035244070476,0.16371772025954362,0.1848282134046887,0.1715826283380137,0.16209494394539392,0.172546493327291,0.07661765268790188,0.14225389207153427,0.32443997520696644,0.11769411555984899,0.2534520828114603,0.21328867426060433
2019-05-13,0.17169121167501739,0.15512504336064775,0.17594456640045963,0.163036090410211,0.1127696215238565,0.1694997669357795,0.07641774821982183,0.13592399946208822,0.191883572473455,0.12322266348137689,0.242338755720867,0.2106630352927209
2019-05-14,0.18591983826339448,0.1594723702086765,0.1779752132986019,0.15733837482091068,0.18962272830222593,0.1673887808887532,0.07679601357595134,0.13184145611653875,0.3204328903152365,0.12509922324040712,0.23655309067203018,0.22042129012007683
2019-05-15,0.18414121696137004,0.16387038660087255,0.18767111308653184,0.17558120839996377,0.16111698083335302,0.16471396407571148,0.07712716574621492,0.12794215866203296,0.26414761028347133,0.12623942778569452,0.23043461723827713,0.2302414362542664
2019-05-16,0.18837476888323862,0.16076890780990422,0.19147844423528082,0.16905880404516643,0.09040898734984418,0.16240065546092264,0.07773427528689214,0.12490352421146678,0.21033734793654013,0.12656257774197022,0.22579259593503348,0.2314854379435214
2019-05-17,0.18940178257532186,0.16333645951025394,0.18838174662180407,0.17258236614807881,0.11045216296959286,0.16023611067752175,0.07832523083784337,0.12227298270654685,0.2399242020379287,0.12655172088568734,0.2217559743170306,0.2381016264266121
